#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####,#### SCAN DATA ####
28.47990681,27.53521127,12.72979535,20.09918846,26.62085308,21.38248848,23.930131,16.80769231,38.35497835,19.54452055,21.9950495,17.05857741,23.42687747,39.79017857,25.90689655,18.27391304,17.42379182,23.26819923,19.58008658,26.36752137,28.99568966,32.43697479,25.41992883,24.31487889,14.89891697,13.79272727,18.63541667,24.79338843,18.28282828,24.13888889,21.6893617,30.65044248,19.87068966,28.49270073,13.54268136,15.56306969,13.2718014,15.94730942,15.17368069,15.13235875,15.90968758,14.99274912,15.04039776,15.31337047,14.10330579,12.78101582,14.0607514,16.30412264,16.03992924,14.29977042,14.31818182,14.07122905,15.0274223,16.49057386,15.59343758,14.40884477
28.55562027,27.74647887,12.8234478,20.15930268,26.62085308,21.36866359,23.97379913,16.78205128,38.21212121,19.52054795,22.07920792,17.05857741,23.45059289,39.74553571,25.95517241,18.29130435,17.42379182,23.16858238,19.56709957,26.29487179,28.99568966,32.36554622,25.38434164,24.4532872,14.9566787,13.80727273,18.60069444,24.82231405,18.30639731,24.17857143,21.73191489,30.61946903,19.9137931,28.47810219,13.50166624,15.48662158,13.2940802,15.95571749,15.15364061,15.02568155,15.88343397,14.99896416,15.0673296,15.30408542,14.1446281,12.82264779,14.08739675,16.30412264,16.11574425,14.27681207,14.36299616,14.02583799,15.01645338,16.44914025,15.64470649,14.42689531
28.5206756,28.00704225,12.89281998,20.1382627,26.68246445,21.32258065,24.07423581,16.88034188,38.16883117,19.53082192,22.06435644,17.05857741,23.47826087,39.71875,25.94137931,18.30434783,17.3866171,23.20689655,19.56709957,26.28205128,28.95258621,32.40756303,25.40925267,24.48788927,14.97111913,13.81818182,18.61111111,24.79338843,18.32659933,24.11507937,21.8,30.67699115,19.88362069,28.47810219,13.50166624,15.57483093,13.28134946,15.91087444,15.15364061,14.98617147,15.89131006,14.99274912,14.99896416,15.30408542,14.09090909,12.82264779,14.068745,16.24197224,16.15617892,14.33256806,14.41421255,14.03631285,15.05301645,16.40149161,15.55242246,14.40884477
28.49737915,28.04929577,12.85813389,20.09918846,26.54028436,21.25806452,24.00436681,16.9957265,38.16883117,19.54452055,22.09405941,17.041841,23.46640316,39.65625,25.83793103,18.33478261,17.37174721,23.20689655,19.46753247,26.12393162,28.8362069,32.34033613,25.34875445,24.43944637,14.98194946,13.82909091,18.67013889,24.73966942,18.32659933,24.11507937,21.88510638,30.58849558,19.96982759,28.45620438,13.48372212,15.61305498,13.30362826,15.84360987,15.14028056,14.96246543,15.85718036,14.9430288,15.0466128,15.18802228,13.99586777,12.8101582,14.0607514,16.2357572,16.19914076,14.44080026,14.45902689,14.04678771,15.08957952,16.33105449,15.56011279,14.38176895
28.65463017,28.14788732,12.78876171,20.05710851,26.54028436,21.32258065,23.96069869,17.03846154,38.18181818,19.62328767,22.12871287,17.0167364,23.43873518,39.52232143,25.76896552,18.30434783,17.34944238,23.33333333,19.45021645,26.08119658,28.86637931,32.35294118,25.34875445,24.47404844,15.00722022,13.86545455,18.70486111,24.73966942,18.31649832,24.20634921,21.91489362,30.67699115,20,28.45620438,13.55293514,15.67186122,13.28134946,15.85482063,15.17368069,14.88344528,15.83092675,14.93681376,15.03418272,15.20427112,14.03719008,12.78101582,14.08739675,16.20053864,16.16628759,14.58510987,14.52304738,14.04678771,15.19926874,16.46985705,15.54216867,14.39530686
28.63715783,28.04929577,12.68470343,20.07814848,26.507109,21.29032258,24.14847162,17.13675214,38.13852814,19.68150685,22.09405941,16.93305439,23.47826087,39.50892857,25.73448276,18.36086957,17.31226766,23.33333333,19.42424242,26.02564103,28.95258621,32.38235294,25.31316726,24.4982699,15.07942238,13.89090909,18.75,24.7107438,18.36026936,24.29761905,21.91489362,30.67699115,20.04310345,28.44160584,13.53499103,15.6924434,13.31317632,15.88284753,15.22044088,14.80442513,15.83092675,14.93059872,15.0466128,15.1183844,14.02066116,12.79350541,14.14868106,16.22747048,16.16628759,14.80157429,14.59667093,14.00139665,15.27239488,16.46364201,15.60369136,14.42689531
28.69539895,28.02816901,12.70551509,19.97896002,26.52606635,21.2764977,24.26637555,17.25213675,38.08225108,19.71575342,22.09405941,16.87447699,23.50592885,39.47767857,25.80344828,18.3173913,17.32342007,23.38314176,19.42424242,26.0982906,29.13793103,32.49159664,25.23131673,24.60207612,15.27075812,13.91636364,18.78472222,24.69834711,18.45117845,24.28571429,21.97021277,30.76548673,20.01293103,28.38321168,13.60420405,15.78947368,13.31317632,15.92769058,15.32064128,14.77676808,15.87555789,14.9844624,15.12326497,15.12766945,14.00826446,12.87676936,14.20197176,16.20675368,16.10563558,15.15250902,14.77912932,13.99092179,15.39305302,16.49057386,15.57805691,14.44043321
28.65463017,28.02816901,12.65001734,20.00901713,26.41232227,21.30414747,24.51091703,17.36324786,38.12554113,19.68150685,22.06435644,16.80753138,23.50592885,39.49553571,25.75862069,18.39130435,17.33457249,23.40996169,19.38095238,26.05555556,29.16810345,32.57563025,25.19572954,24.66089965,15.48736462,13.95272727,18.78472222,24.68181818,18.52861953,24.28571429,22.02978723,30.97345133,19.98706897,28.28467153,13.70674186,15.95707145,13.34500318,15.92769058,15.44088176,14.85578823,15.84930428,15.05489952,15.22063393,15.11142061,13.92561983,12.90591174,14.31654676,16.16532007,16.14101592,15.80846179,15.15044814,13.99092179,15.57586837,16.42842345,15.59343758,14.47202166
28.75364007,28.14788732,12.76448144,20.17733694,26.45971564,21.35023041,24.77292576,17.49145299,38.16883117,19.63356164,22.01485149,16.80753138,23.42687747,39.31696429,25.64482759,18.40434783,17.32342007,23.42145594,19.46753247,26.0982906,29.15086207,32.60504202,25.20640569,24.76470588,15.77617329,14.01090909,18.81944444,24.82231405,18.5959596,24.33730159,22.07234043,31.35840708,20.03017241,28.40510949,14.05537042,16.33931197,13.33545512,15.89966368,15.69806279,14.96246543,15.83092675,15.22684897,15.25378082,15.15784587,13.96694215,12.91840133,14.41513456,16.13838823,16.15617892,16.95637914,15.69462228,14.06075419,15.96709324,16.45535529,15.54216867,14.49909747
28.6721025,28.57042254,12.8234478,20.62819357,26.45971564,21.39631336,25.48908297,17.91880342,38.16883117,19.64726027,21.96534653,16.77824268,23.47826087,39.01785714,25.54137931,18.49130435,17.26022305,23.37164751,19.45021645,26.08119658,29.22413793,32.60504202,25.3024911,24.88927336,16.30685921,14.10909091,18.86458333,24.95867769,18.71043771,24.45634921,22.21276596,32.33185841,20.09913793,28.45620438,14.64496283,16.97441929,13.39910885,15.93890135,16.1756847,15.06519162,15.85718036,15.59353636,15.28278434,15.17409471,14.02066116,12.93505412,14.64694911,16.1736068,16.19914076,19.04558872,16.77336748,14.07122905,16.7202925,16.45535529,15.68828506,14.62093863
