#T4 #,#Progesterone #,#T4 #,#T4 #,#T4 #,#T4 #,#cCRP #,#cCRP #,#Vet D-Dimer #,#Vet D-Dimer #,#T4 #
T4NYA07VB,PGNFA04VB,T4MXA01VB,T4NAA02VB,T4NAA02VB,T4NAA02VB,CRNDA06VN,CRNDA06VN,DDNEA04V,TSNKA01VB.1,T4NHA03V
48.27,48.27,48.27,48.27,48.27,48.27,38.64,39.75,48.27,48.27,48.27
> 90.00,> 20.00,Error 25,Error 25,Error 25,Error 25,Error 25,Error 25,Error 25,Error 25,Error 25
,,,,,,,,,,
#### SCAN DATA ####,#### SCAN DATA ####,2017-07-24 14:46:01,2017-08-12 14:48:20,2017-08-14 15:45:13,2017-08-16 16:13:52,2017-06-05 cCRP,2017-07-05 cCRP,2017-07-05 D-Dimer,2018-02-28 TSH,2018-02-28 T4
1.035840066,0,13.05158484,0,12.16076238,15.35114978,0,81.86163522,9.736896623,9.736896623,4.495545888
1.035840066,0,13.05158484,0,12.16076238,15.35114978,0,81.86163522,9.736896623,9.736896623,4.495545888
1.035840066,0,13.05158484,0,12.16076238,15.35114978,0,81.86163522,9.736896623,9.736896623,4.495545888
0.9384711,0,13.19660244,0,12.17526414,15.53138595,0,82.17106918,12.16697742,12.16697742,4.516262689
0.828672053,0,13.1903874,0,12.00952973,15.80691941,0,83.40377358,18.02983219,18.02983219,4.563911332
0.897037497,0,13.15516884,0,11.8769422,16.33105449,0,85.16477987,24.72964574,24.72964574,4.655065258
0.834887093,0,13.16138388,0,11.67806091,16.46985705,0,86.13081761,29.6871763,29.6871763,4.820799669
0.890822457,0,13.3685519,0,11.68427595,16.69152683,0,87.04402516,30.51584835,30.51584835,4.99274912
0.78102341,0,13.66687383,0,11.6159105,16.85726124,0,87.37106918,30.54278019,30.54278019,5.15226849
0.843173814,0,13.52185623,0,11.5537601,17.23016366,0,85.85408805,29.97099648,29.97099648,5.15848353
0.849388854,0,13.31468821,0,11.5951937,17.27781231,0,82.91823899,30.46819971,30.46819971,5.081831365
0.843173814,0,13.32711829,0,11.5537601,16.85726124,0,72.30188679,30.50963331,30.50963331,4.99896416
0.876320696,0,13.83260825,0,11.43567433,16.03480423,0,54.5081761,30.28796354,30.28796354,4.916096955
0.952972861,0,14.47482909,0,11.12492231,15.21234721,0,34.28930818,30.43919619,30.43919619,4.812512948
0.884607417,0,14.79801119,0,10.97368966,14.44582556,0,20.20880503,29.91506111,29.91506111,4.702713901
0.870105656,0,14.922312,0,10.88253574,13.64615703,0,14.33207547,29.0304537,29.0304537,4.744147504
0.752019888,0,14.86844831,0,10.86181894,11.5951937,0,10.68427673,27.07064429,27.07064429,4.882950073
0.760306609,0,14.7441475,0,10.84110213,7.775015538,0,7.942138365,26.19225192,26.19225192,4.951315517
0.772736689,0,14.7027139,0,10.70437125,3.625440232,0,6.037735849,25.9229335,25.9229335,4.986534079
0.814170292,0,14.6198467,0,10.45576963,0.834887093,0,4.772327044,25.47545059,25.47545059,4.972032318
0.897037497,0,14.7027139,0,10.21338305,0.035218562,0,3.906918239,25.01968096,25.01968096,5.013465921
1.029625026,0,14.89538015,0.171949451,10.21959809,0,0,3.169811321,24.51419101,24.51419101,5.034182722
1.015123265,0,15.22063393,1.015123265,10.3646157,0,0,2.598742138,24.24487259,24.24487259,5.143981769
